track_id,track_name,artist_name,album_release_date,month_of_release,track_popularity,duration_ms,duration_min,explicit,is_hit
3CWq0pAKKTWb0K4yiglDc4,You’re Losing Me (From The Vault),Taylor Swift,2023-11-29,11,74.0,277831,4.630516666666667,0,1
045ZeOHPIzhxxsm8bq5kyE,Out Of The Woods (Taylor's Version),Taylor Swift,2023-10-26,10,75.0,235800,3.93,0,1
3sW3oSbzsfecv9XoUdGs7h,Enchanted (Taylor's Version),Taylor Swift,2023-07-07,7,77.0,353253,5.88755,0,1
3xYJScVfxByb61dYHTwiby,Hits Different,Taylor Swift,2023-05-26,5,70.0,234466,3.907766666666667,1,1
5KD6AEm19QnMbfWpfoOHMl,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2023-10-26,10,71.0,146436,2.4406,0,1
1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,2023-10-26,10,72.0,229477,3.8246166666666666,0,1
1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),Taylor Swift,2023-10-26,10,74.0,231000,3.85,0,1
1K39ty6o1sHwwlZwO6a7wK,Wildest Dreams (Taylor's Version),Taylor Swift,2023-10-26,10,75.0,220433,3.6738833333333334,0,1
71BqAINEnezjQfxE4VuJfq,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,2023-10-26,10,73.0,180381,3.00635,0,1
4NioO5R9sHEZh4cGzMHyNt,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,2023-10-26,10,69.0,279833,4.663883333333334,0,1
4UwqOWDpdeIDVQDuKT6iza,You Are In Love (Taylor's Version),Taylor Swift,2023-10-26,10,69.0,267389,4.456483333333333,0,1
5QVVjX0ZItqlVpEuVCM9Yg,This Love (Taylor’s Version),Taylor Swift,2023-10-26,10,69.0,250100,4.168333333333333,0,1
79uDOz0zuuWS7HWxzMmTa2,Back To December (Taylor's Version),Taylor Swift,2023-07-07,7,71.0,294189,4.90315,0,1
4hqJ4bSlYJOXb6Z4SRmzxs,Long Live (Taylor's Version),Taylor Swift,2023-07-07,7,69.0,317960,5.299333333333333,0,1
5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,2023-07-07,7,69.0,273186,4.5531,0,1
4zmKGsrXjLmljb5fTaBTot,Snow On The Beach (feat. More Lana Del Rey),Taylor Swift,2023-05-26,5,72.0,229942,3.8323666666666667,1,1
2ByBBvpR9b7IynvRmnG7kG,Clean (Taylor's Version),Taylor Swift,2023-10-26,10,68.0,271000,4.516666666666667,0,1
7G0gBu6nLdhFDPRLc0HdDG,Mine (Taylor's Version),Taylor Swift,2023-07-07,7,70.0,231706,3.8617666666666666,0,1
45wMBGri1PORPjM9PwFfrS,Blank Space (Taylor's Version),Taylor Swift,2023-10-26,10,72.0,231833,3.8638833333333333,0,1
59KOoHFcw5XfICnO57holu,Last Kiss (Taylor's Version),Taylor Swift,2023-07-07,7,67.0,369120,6.152,0,1
2vPMoMDXxu9uX1igWZmXSG,New Romantics (Taylor's Version),Taylor Swift,2023-10-26,10,66.0,230177,3.8362833333333333,0,0
3MytWN8L7shNYzGl4tAKRp,Sparks Fly (Taylor’s Version),Taylor Swift,2023-07-07,7,67.0,261230,4.353833333333333,0,1
6INztpNwOTlfSKTuPo0HOP,The Alcott (feat. Taylor Swift),The National,2023-04-28,4,66.0,267773,4.462883333333333,0,0
3pv7Q5v2dpdefwdWIvE7yH,Shake It Off (Taylor's Version),Taylor Swift,2023-10-26,10,67.0,219209,3.6534833333333334,0,1
1HCdems7PQZRj42QDWLA0A,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,2023-07-07,7,64.0,321396,5.3566,0,0
6dTA6y0C2ReQklntzZl8l3,The Story Of Us (Taylor's Version),Taylor Swift,2023-07-07,7,65.0,267653,4.460883333333333,0,0
1hR8BSuEqPCCZfv93zzzz9,Welcome To New York (Taylor's Version),Taylor Swift,2023-10-26,10,65.0,212600,3.5433333333333334,0,0
4tMzIAFTFdqGBQLdfbPces,Haunted (Taylor's Version),Taylor Swift,2023-07-07,7,64.0,245413,4.090216666666667,0,0
6qAcApH8obo8eqatCKUHd9,Bad Blood (feat. Kendrick Lamar) (Taylor's Version),Taylor Swift,2023-10-27,10,63.0,199773,3.32955,0,0
1zU8j1x3yi9xalMF96pzKp,Dear John (Taylor's Version),Taylor Swift,2023-07-07,7,64.0,405906,6.7651,0,0
6GXgd1BPD9bUpqw5AntGV5,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,2023-10-26,10,65.0,193289,3.2214833333333335,0,0
6qxvy9Pe4RJIq5JBVbbwbS,Maroon,Taylor Swift,2023-05-26,5,64.0,218270,3.6378333333333335,1,0
0NwGC0v03ysCYINtg6ns58,Better Than Revenge (Taylor's Version),Taylor Swift,2023-07-07,7,64.0,220306,3.6717666666666666,0,0
5Se32hEA9raeboZerywxka,You Broke My Heart,Drake,2023-11-17,11,75.0,230709,3.84515,1,1
1yeB8MUNeLo9Ek1UEpsyz6,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,2023-10-06,10,78.0,319191,5.31985,1,1
3eP13S8D5m2cweMEg3ZDed,Virginia Beach,Drake,2023-10-06,10,75.0,251094,4.1849,1,1
7aRCf5cLOFN1U7kvtChY1G,Search & Rescue,Drake,2023-04-07,4,72.0,272112,4.5352,1,1
7aqfrAY2p9BUSiupwk3svU,First Person Shooter (feat. J. Cole),Drake,2023-10-06,10,72.0,247444,4.124066666666667,1,1
3IHt4j5uAEl7iBu8Utn985,Tried Our Best,Drake,2023-10-06,10,71.0,209990,3.499833333333333,1,1
67nepsnrcZkowTxMWigSbb,MELTDOWN (feat. Drake),Travis Scott,2023-07-28,7,73.0,246133,4.102216666666667,1,1
2YSzYUF3jWqb9YP9VXmpjE,IDGAF (feat. Yeat),Drake,2023-10-06,10,75.0,260111,4.335183333333333,1,1
0w3Mfe4PIVjuFjJbe3OlYv,8am in Charlotte,Drake,2023-10-06,10,69.0,266847,4.44745,1,1
3RaCGXCiiMufRPoexXxGkV,Slime You Out (feat. SZA),Drake,2023-09-15,9,68.0,310490,5.174833333333333,1,1
0AYt6NMyyLd0rLuvr0UkMH,Slime You Out (feat. SZA),Drake,2023-10-06,10,67.0,310490,5.174833333333333,1,1
3JZjcKImHcmOI9ylL4zrSc,Bahamas Promises,Drake,2023-10-06,10,67.0,184089,3.06815,1,1
7qLr3HMApUbyDkUvgIvHnB,Oh U Went (feat. Drake),Young Thug,2023-06-23,6,65.0,185333,3.0888833333333334,1,0
03rwnftfgpYVO6QDWOZcG6,Drew A Picasso,Drake,2023-10-06,10,67.0,262768,4.379466666666667,1,1
24FUBxaAYSBlWsbSnEzDcn,Members Only (feat. PARTYNEXTDOOR),Drake,2023-10-06,10,67.0,277720,4.628666666666667,1,1
6ZprqcYFC6D9eIZaCoqrSn,Gently (feat. Bad Bunny),Drake,2023-10-06,10,67.0,133694,2.2282333333333333,1,1
3oZZfVvLJuDYc4Vn3A63Fw,Polar Opposites,Drake,2023-10-06,10,64.0,257180,4.286333333333333,1,0
0ZB5pdrM1leH58IgokDPZM,Stories About My Brother,Drake,2023-11-17,11,64.0,264130,4.402166666666667,1,0
17IBDpAl3J39swaoPlfGpp,Another Late Night (feat. Lil Yachty),Drake,2023-10-06,10,63.0,170414,2.8402333333333334,1,0
4IcbUXrAzBtn6iUO1LP471,Away From Home,Drake,2023-10-06,10,63.0,258592,4.309866666666666,1,0
1PIgY9ybyFT9uWLM5POYGY,All The Parties (feat. Chief Keef),Drake,2023-10-06,10,64.0,218611,3.6435166666666667,1,0
1DAibqbopEYULPEtE8WHTE,What Would Pluto Do,Drake,2023-10-06,10,64.0,182998,3.0499666666666667,1,0
1GpWY5RiInhezB8wGWs6oN,7969 Santa,Drake,2023-10-06,10,62.0,259846,4.330766666666666,1,0
5Mc8XDfGQCMkOEZm9rS1cE,Red Button,Drake,2023-11-17,11,60.0,160049,2.667483333333333,1,0
4ZT0wGKwlJRjpMUuwZVy3p,Daylight,Drake,2023-10-06,10,62.0,164142,2.7357,1,0
53KaP77tkliz36LPxWGlWK,Fear Of Heights,Drake,2023-10-06,10,61.0,155154,2.5859,1,0
6pD0ufEQq0xdHSsRbg9LBK,un x100to,Grupo Frontera,2023-04-17,4,76.0,194563,3.2427166666666665,0,1
39L3LdlHS3gqB62HPWaJRg,NO ME QUIERO CASAR,Bad Bunny,2023-10-13,10,79.0,225654,3.7609,1,1
