track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,release_date_precision,popularity,duration_ms,explicit,source,source_id
1qwClaxDb5fCrLjXaAmB35,Wi$h Li$t - Settled Down Acoustic Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,67,210912,True,artist,Taylor Swift
53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,100,226073,False,artist,Taylor Swift
4UBWugj5D20ZveyzdGpqvD,Elizabeth Taylor - So Glamorous Cabaret Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,67,247268,False,artist,Taylor Swift
6hKfPNnVlA2cgTgKj6Vgcw,Ruin The Friendship - My Advice Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,64,222087,False,artist,Taylor Swift
2JHzTARFUispsjZHKhrxxO,Eldest Daughter - Now You’re Home Acoustic Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,62,244363,True,artist,Taylor Swift
1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,day,80,255893,False,artist,Taylor Swift
1p80LdxRV74UKvL8gnD7ky,Blank Space,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,day,74,231826,False,artist,Taylor Swift
6PlBKImSl4AZoxBU7F649D,The Fate of Ophelia - Loud Luxury Remix,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1Ed98OfVXz3CiJcupzuLTo,The Fate of Ophelia (Loud Luxury Remix),2025-11-06,day,65,156302,False,artist,Taylor Swift
6oVxXO5oQ4pTpO8RSnkzvv,Dress,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,day,83,230373,False,artist,Taylor Swift
2x3mwb96B6TquRqMtbxUE1,Actually Romantic,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,91,163699,True,artist,Taylor Swift
0Ny2HkSrLtvmBVwCQywyip,Opalite - Life Is A Song Acoustic Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,64,242738,False,artist,Taylor Swift
4lIxdJw6W3Fg4vUIYCB0S5,Style,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,day,73,231000,False,artist,Taylor Swift
3Z2nTctPsTsgqqJm5fCSvG,The Fate of Ophelia - Alone In My Tower Acoustic Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,60pPcuYWCIAdcErvx2TLGB,The Fate of Ophelia (Alone In My Tower Acoustic Version),2025-10-31,day,72,225816,False,artist,Taylor Swift
6virCtlwc98cKYVyeZYXqq,Elizabeth Taylor,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,57,208291,False,artist,Taylor Swift
6NFyWDv5CjfwuzoCkw47Xf,Delicate,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,day,81,232253,False,artist,Taylor Swift
62V2ZHslgQV98gH4AuVXnr,Ruin The Friendship,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,91,220564,False,artist,Taylor Swift
4R2kfaDFhslZEMJqAFNpdd,cardigan,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,day,85,239560,False,artist,Taylor Swift
5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl (feat. Sabrina Carpenter),06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,92,241766,True,artist,Taylor Swift
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1Mo4aZ8pdj6L1jx8zSwJnt,THE TORTURED POETS DEPARTMENT,2024-04-18,day,80,218004,True,artist,Taylor Swift
1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,day,82,236413,False,artist,Taylor Swift
7jHzBmxAGVVPvLiq4Y45pD,Honey,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,56,181534,True,artist,Taylor Swift
62HoDY1Km6lm47haFpUn9c,Eldest Daughter,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,91,246356,True,artist,Taylor Swift
6H0nEKqkTRxa30Pru1h7SD,Father Figure,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,57,212777,True,artist,Taylor Swift
4Ox858TeUXjy7WEKOcxaFI,Wood,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,55,150517,True,artist,Taylor Swift
0Jlcvv8IykzHaSmj49uNW8,the 1,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,day,77,210251,True,artist,Taylor Swift
6G3dUZrsaOYhe2gRyNukwA,Actually Romantic,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,55,163699,True,artist,Taylor Swift
05VwM318oU6aNc1GS4MtLV,Ruin The Friendship,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,56,220564,False,artist,Taylor Swift
4qmFC3Jz5aQ0erlk2OSi2X,Honey,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,90,181534,True,artist,Taylor Swift
3hUxzQpSfdDqwM3ZTFQY0K,august,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,day,85,261922,False,artist,Taylor Swift
1dGr1c8CrMLDpV6mPbImSI,Lover,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,day,84,221306,False,artist,Taylor Swift
1appZ3c336FkPvCuywfmrs,CANCELLED!,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,91,211498,True,artist,Taylor Swift
6udRZQi3g501XNOcRnE9fo,Wi$h Li$t,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,55,207349,True,artist,Taylor Swift
6nhsv9Jeluz5gXt592KN3m,Eldest Daughter,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,55,246356,True,artist,Taylor Swift
2DF2sUvgHFKJ5TQGjm6n3T,The Life of a Showgirl (feat. Sabrina Carpenter) - Dressing Room Rehearsal Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,65,239790,True,artist,Taylor Swift
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,day,87,178426,False,artist,Taylor Swift
3lcWDG62OH0cH5GHLdT5X4,The Fate of Ophelia - Alone In My Tower Acoustic Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,64,225816,False,artist,Taylor Swift
67SmofYg9enUWfcPqUuoVm,CANCELLED!,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,55,211498,True,artist,Taylor Swift
3yWuTOYDztXjZxdE2cIRUa,Opalite,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,97,235355,False,artist,Taylor Swift
03bTIHJElXZ0O0jqOQvAbY,Father Figure,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,93,212777,True,artist,Taylor Swift
2TEQvxxQabwLQMqWMg1qGu,Wi$h Li$t,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,92,207349,True,artist,Taylor Swift
5cKBWgDjB5IXZ5jnryewOH,The Fate of Ophelia,06HL4z0CvFAxyc27GXpf02,Taylor Swift,60pPcuYWCIAdcErvx2TLGB,The Fate of Ophelia (Alone In My Tower Acoustic Version),2025-10-31,day,64,226073,False,artist,Taylor Swift
5UQ3JrA9kEh7rfwhUS1h0z,The Fate of Ophelia,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,59,226073,False,artist,Taylor Swift
3euZKF0hmGxQ6h2JHHY4iu,Opalite,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1W57oNaAkGObOQKBTxg4e9,The Life of a Showgirl,2025-10-03,day,82,235355,False,artist,Taylor Swift
31TXxq8gfgYyrYClnYY48m,The Fate of Ophelia,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1W57oNaAkGObOQKBTxg4e9,The Life of a Showgirl,2025-10-03,day,87,226073,False,artist,Taylor Swift
3wXuJTeA7dkrWShvbdUk0A,The Fate of Ophelia,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1Ed98OfVXz3CiJcupzuLTo,The Fate of Ophelia (Loud Luxury Remix),2025-11-06,day,58,226073,False,artist,Taylor Swift
5ylJtmaWPJ33cW3En7WOu0,Wood,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,92,150517,True,artist,Taylor Swift
0WUwHkIXQY55MLOrw8EM6m,Opalite,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,57,235356,False,artist,Taylor Swift
5logBAbhpIk9WWOXpUXSCi,The Fate of Ophelia - Alone In My Tower Acoustic Version,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1Ed98OfVXz3CiJcupzuLTo,The Fate of Ophelia (Loud Luxury Remix),2025-11-06,day,56,225816,False,artist,Taylor Swift
6EqHzZp61G5uQ12QEiibpT,The Life of a Showgirl (feat. Sabrina Carpenter),06HL4z0CvFAxyc27GXpf02,Taylor Swift,6QNMhoV8V0u7cFuhhUBOn7,The Life of a Showgirl + Acoustic Collection,2025-11-07,day,55,241766,True,artist,Taylor Swift
1jgTiNob5cVyXeJ3WgX5bL,Elizabeth Taylor,06HL4z0CvFAxyc27GXpf02,Taylor Swift,4a6NzYL1YHRUgx9e3YZI6I,The Life of a Showgirl,2025-10-03,day,94,208291,False,artist,Taylor Swift
18WFFUIsewmA8g31KAeo3e,The Prophecy,06HL4z0CvFAxyc27GXpf02,Taylor Swift,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,day,74,249807,False,artist,Taylor Swift
3CWq0pAKKTWb0K4yiglDc4,You’re Losing Me (From The Vault),06HL4z0CvFAxyc27GXpf02,Taylor Swift,5q3jthpn2h59P7pe2gmAl7,You're Losing Me (From The Vault),2023-11-29,day,74,277831,False,artist,Taylor Swift
3zwMVvkBe2qIKDObWgXw4N,right where you left me - bonus track,06HL4z0CvFAxyc27GXpf02,Taylor Swift,6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07,day,76,245026,False,artist,Taylor Swift
6ELVyix1yp8H9qt1IneOj9,Ruin The Friendship,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1W57oNaAkGObOQKBTxg4e9,The Life of a Showgirl,2025-10-03,day,73,220564,False,artist,Taylor Swift
43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,day,73,170640,False,artist,Taylor Swift
1fzAuUVbzlhZ1lJAx9PtY6,Daylight,06HL4z0CvFAxyc27GXpf02,Taylor Swift,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,day,80,293453,False,artist,Taylor Swift
6VsvKPJ4xjVNKpI8VVZ3SV,invisible string,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,day,75,252880,False,artist,Taylor Swift
2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,06HL4z0CvFAxyc27GXpf02,Taylor Swift,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,day,74,190898,False,artist,Taylor Swift
